Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=20, test_batch_size=50)
target count: 20
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 6 ------> some others
theta_m tensor(-7.1665, device='cuda:0') tensor(3.9930, device='cuda:0')
theta_p tensor(-4.4273, device='cuda:0') tensor(4.5398, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 0.950, cls: 20.510497, reg: 507.344713, reg_best: 507.344713
step:   7, lambda: 0.00100, attack: 1.000, cls: 34.443482, reg: 527.278079, reg_best: 512.821144
step:   8, lambda: 0.00100, attack: 1.000, cls: 35.626882, reg: 527.073224, reg_best: 512.821144
step:   9, lambda: 0.00100, attack: 1.000, cls: 36.506517, reg: 529.165265, reg_best: 512.821144
step:  10, lambda: 0.00100, attack: 1.000, cls: 37.341049, reg: 528.515411, reg_best: 512.821144
step:  11, lambda: 0.00100, attack: 1.000, cls: 38.059378, reg: 528.506482, reg_best: 512.821144
up lambda from 0.00100 to 0.00200
step:  12, lambda: 0.00200, attack: 1.000, cls: 38.422335, reg: 529.024960, reg_best: 512.821144
step:  13, lambda: 0.00200, attack: 1.000, cls: 38.918383, reg: 526.547559, reg_best: 512.821144
step:  14, lambda: 0.00200, attack: 1.000, cls: 39.408433, reg: 527.271545, reg_best: 512.821144
step:  15, lambda: 0.00200, attack: 1.000, cls: 39.522317, reg: 530.111145, reg_best: 512.821144
step:  16, lambda: 0.00200, attack: 1.000, cls: 39.704970, reg: 530.911734, reg_best: 512.821144
step:  17, lambda: 0.00200, attack: 1.000, cls: 39.651048, reg: 527.074774, reg_best: 512.821144
step:  18, lambda: 0.00200, attack: 1.000, cls: 39.755638, reg: 527.837408, reg_best: 512.821144
step:  19, lambda: 0.00200, attack: 1.000, cls: 40.041075, reg: 528.194476, reg_best: 512.821144
step:  20, lambda: 0.00200, attack: 1.000, cls: 40.259210, reg: 527.188947, reg_best: 512.821144
step:  21, lambda: 0.00200, attack: 1.000, cls: 40.666502, reg: 523.747977, reg_best: 512.821144
up lambda from 0.00200 to 0.00400
step:  22, lambda: 0.00400, attack: 1.000, cls: 41.216032, reg: 521.825943, reg_best: 512.821144
step:  23, lambda: 0.00400, attack: 1.000, cls: 41.656640, reg: 518.784787, reg_best: 512.821144
step:  24, lambda: 0.00400, attack: 1.000, cls: 42.149879, reg: 517.659567, reg_best: 512.821144
step:  25, lambda: 0.00400, attack: 1.000, cls: 42.068228, reg: 517.454721, reg_best: 512.821144
step:  26, lambda: 0.00400, attack: 1.000, cls: 42.488937, reg: 519.361575, reg_best: 512.821144
